"","category_name","date","sale_liters"
"143","TEQUILA","2015-03-02T00:00:00.000","4.5"
"144","TEQUILA","2015-03-02T00:00:00.000","4.5"
"145","TEQUILA","2015-03-02T00:00:00.000","9"
"146","TEQUILA","2015-03-02T00:00:00.000","10.5"
"147","TEQUILA","2015-03-02T00:00:00.000","45"
"148","TEQUILA","2015-03-02T00:00:00.000","36"
"149","TEQUILA","2015-03-02T00:00:00.000","18"
"150","TEQUILA","2015-03-02T00:00:00.000","4.5"
"151","TEQUILA","2015-03-02T00:00:00.000","4.5"
"152","TEQUILA","2015-03-02T00:00:00.000","1.125"
"153","TEQUILA","2015-03-02T00:00:00.000","1"
"154","TEQUILA","2015-03-02T00:00:00.000","2.25"
"155","TEQUILA","2015-03-02T00:00:00.000","2.25"
"156","TEQUILA","2015-03-02T00:00:00.000","12"
"157","TEQUILA","2015-03-02T00:00:00.000","0.75"
"158","TEQUILA","2015-03-02T00:00:00.000","1.5"
"159","TEQUILA","2015-03-02T00:00:00.000","3.5"
"160","TEQUILA","2015-03-02T00:00:00.000","2"
"161","TEQUILA","2015-03-02T00:00:00.000","9"
"162","TEQUILA","2015-03-02T00:00:00.000","2.25"
"163","TEQUILA","2015-03-02T00:00:00.000","3"
"164","TEQUILA","2015-03-02T00:00:00.000","1.5"
"165","TEQUILA","2015-03-02T00:00:00.000","4.5"
"166","TEQUILA","2015-03-02T00:00:00.000","0.3"
"167","TEQUILA","2015-03-02T00:00:00.000","3"
"168","TEQUILA","2015-03-02T00:00:00.000","2"
"169","TEQUILA","2015-03-02T00:00:00.000","1.125"
"170","TEQUILA","2015-03-02T00:00:00.000","10.5"
"171","TEQUILA","2015-03-02T00:00:00.000","12"
"172","TEQUILA","2015-03-02T00:00:00.000","9"
"173","TEQUILA","2015-03-02T00:00:00.000","9"
"174","TEQUILA","2015-03-02T00:00:00.000","4.5"
"175","TEQUILA","2015-03-02T00:00:00.000","0.3"
"176","TEQUILA","2015-03-02T00:00:00.000","0.75"
"177","TEQUILA","2015-03-02T00:00:00.000","2.25"
"178","TEQUILA","2015-03-02T00:00:00.000","2.25"
"179","TEQUILA","2015-03-02T00:00:00.000","1"
"180","TEQUILA","2015-03-02T00:00:00.000","0.6"
"181","TEQUILA","2015-03-02T00:00:00.000","1.125"
"182","TEQUILA","2015-03-02T00:00:00.000","0.6"
"183","TEQUILA","2015-03-02T00:00:00.000","1.125"
"184","TEQUILA","2015-03-02T00:00:00.000","9"
"185","TEQUILA","2015-03-02T00:00:00.000","4.5"
"186","TEQUILA","2015-03-02T00:00:00.000","9"
"187","TEQUILA","2015-03-02T00:00:00.000","4.5"
"188","TEQUILA","2015-03-02T00:00:00.000","3"
"189","TEQUILA","2015-03-02T00:00:00.000","12"
"190","TEQUILA","2015-03-02T00:00:00.000","12"
"191","TEQUILA","2015-03-02T00:00:00.000","1.2"
"192","TEQUILA","2015-03-02T00:00:00.000","0.375"
"193","TEQUILA","2015-03-02T00:00:00.000","0.8"
"194","TEQUILA","2015-03-02T00:00:00.000","1.875"
"195","TEQUILA","2015-03-02T00:00:00.000","0.5"
"196","TEQUILA","2015-03-02T00:00:00.000","9"
"197","TEQUILA","2015-03-02T00:00:00.000","9"
"198","TEQUILA","2015-03-02T00:00:00.000","24"
"199","TEQUILA","2015-03-02T00:00:00.000","9"
"200","TEQUILA","2015-03-02T00:00:00.000","0.6"
"201","TEQUILA","2015-03-02T00:00:00.000","9.6"
"202","TEQUILA","2015-03-02T00:00:00.000","9"
"203","TEQUILA","2015-03-02T00:00:00.000","0.6"
"204","TEQUILA","2015-03-02T00:00:00.000","0.75"
"205","TEQUILA","2015-03-02T00:00:00.000","1.5"
"206","TEQUILA","2015-03-02T00:00:00.000","1.5"
"207","TEQUILA","2015-03-02T00:00:00.000","1.5"
"208","TEQUILA","2015-03-02T00:00:00.000","2"
"209","TEQUILA","2015-03-02T00:00:00.000","1.5"
"210","TEQUILA","2015-03-02T00:00:00.000","1.5"
"211","TEQUILA","2015-03-02T00:00:00.000","24"
"212","TEQUILA","2015-03-02T00:00:00.000","9"
"213","TEQUILA","2015-03-02T00:00:00.000","0.5"
"214","TEQUILA","2015-03-02T00:00:00.000","0.375"
"215","TEQUILA","2015-03-02T00:00:00.000","0.2"
"216","TEQUILA","2015-03-02T00:00:00.000","2.25"
"217","TEQUILA","2015-03-02T00:00:00.000","2.25"
"218","TEQUILA","2015-03-02T00:00:00.000","1.5"
"219","TEQUILA","2015-03-02T00:00:00.000","12"
"220","TEQUILA","2015-03-02T00:00:00.000","18"
"221","TEQUILA","2015-03-02T00:00:00.000","4.5"
"222","TEQUILA","2015-03-02T00:00:00.000","9"
"223","TEQUILA","2015-03-02T00:00:00.000","3"
"224","TEQUILA","2015-03-02T00:00:00.000","9"
"225","TEQUILA","2015-03-02T00:00:00.000","12"
"226","TEQUILA","2015-03-02T00:00:00.000","1.5"
"227","TEQUILA","2015-03-02T00:00:00.000","18"
"228","TEQUILA","2015-03-02T00:00:00.000","0.6"
"229","TEQUILA","2015-03-02T00:00:00.000","0.75"
"230","TEQUILA","2015-03-02T00:00:00.000","1.5"
"231","TEQUILA","2015-03-02T00:00:00.000","9"
"232","TEQUILA","2015-03-02T00:00:00.000","1.5"
"233","TEQUILA","2015-03-02T00:00:00.000","1.5"
"234","TEQUILA","2015-03-02T00:00:00.000","9"
"235","TEQUILA","2015-03-02T00:00:00.000","3"
"236","TEQUILA","2015-03-02T00:00:00.000","10.5"
"237","TEQUILA","2015-03-02T00:00:00.000","9"
"238","TEQUILA","2015-03-02T00:00:00.000","9"
"239","TEQUILA","2015-03-02T00:00:00.000","13.5"
"240","TEQUILA","2015-03-02T00:00:00.000","6"
"241","TEQUILA","2015-03-02T00:00:00.000","6"
"242","TEQUILA","2015-03-02T00:00:00.000","9"
"243","TEQUILA","2015-03-02T00:00:00.000","9"
"244","TEQUILA","2015-03-02T00:00:00.000","9"
"245","TEQUILA","2015-03-02T00:00:00.000","9"
"246","TEQUILA","2015-03-02T00:00:00.000","12"
"247","TEQUILA","2015-03-02T00:00:00.000","12"
"248","TEQUILA","2015-03-02T00:00:00.000","72"
